* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
4182.823560	103.665541
4243.664130	103.135469
4305.389646	102.701257
4368.012981	102.278728
4431.547192	102.050612
4496.005531	102.071790
4561.401437	102.241452
4627.748549	102.530944
4695.060701	102.820434
4763.351932	103.183746
4832.636481	103.399940
4902.928797	103.549690
4974.243539	103.585555
5046.595577	103.621943
5120.000000	103.623558
5194.472115	103.594852
5270.027452	103.565729
5346.681766	103.508145
5424.451043	103.363276
5503.351500	103.084480
5583.399591	102.706630
5664.612008	101.997691
5747.005687	101.181764
5830.597810	100.218059
5915.405808	99.443315
6001.447367	98.755079
6088.740429	98.417944
6177.303198	98.095540
6267.154142	97.910141
6358.311998	97.837861
6450.795775	97.765531
6544.624761	97.663662
6639.818520	97.573007
6736.396904	97.500579
6834.380053	97.430710
6933.788400	97.382705
7034.642675	97.334185
7136.963909	97.286164
7240.773439	97.233885
7346.092914	97.161485
7452.944296	97.119721
7561.349867	97.083511
7671.332234	97.068766
7782.914330	97.141214
7896.119426	97.277607
8010.971128	97.422462
8127.493386	97.255214
8245.710500	97.053203
8365.647121	96.848254
8487.328260	96.413524
8610.779292	95.654243
8736.025961	94.692870
8863.094385	93.443240
8992.011061	92.283877
9122.802874	91.369130
9255.497097	90.647772
9390.121402	90.209478
9526.703863	90.016756
9665.272962	89.785468
9805.857594	89.600947
9948.487077	89.397089
10093.191154	89.242147
10240.000000	89.449352
10388.944230	89.883770
10540.054903	90.739204
10693.363532	91.868194
10848.902086	93.026528
11006.703001	94.161978
11166.799182	95.030742
11329.224017	95.606535
11494.011375	95.965226
11661.195620	96.070242
11830.811616	95.925401
12002.894734	95.652173
12177.480858	95.444916
12354.606395	95.366194
12534.308283	95.364841
12716.623996	95.413182
12901.591551	95.387588
13089.249521	95.250922
13279.637040	94.960728
13472.793808	95.854436
13668.760107	96.675236
13867.576801	97.688109
14069.285350	98.592212
14273.927818	98.973367
14481.546879	98.941797
14692.185828	98.203269
14905.888592	96.976327
15122.699734	95.731539
15342.664467	94.468645
15565.828661	93.187381
15792.238852	91.887481
16021.942256	90.568674
16254.986772	89.450847
16491.420999	89.672954
16731.294241	89.898291
16974.656520	90.126906
17221.558584	90.358846
17472.051922	89.307576
17726.188769	87.080128
17984.022122	84.820281
18245.605748	82.527564
18510.994194	80.201498
18780.242805	77.841600
19053.407727	75.447375
19330.545924	78.619511
19611.715189	82.214570
19896.974155	82.358112
20186.382308	82.358112
