* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
16021.942256	61.923324
16254.986772	61.370679
16491.420999	60.329989
16731.294241	59.088728
16974.656520	57.764946
17221.558584	56.387281
17472.051922	54.699539
17726.188769	52.701582
17984.022122	50.203186
18245.605748	47.013151
18510.994194	42.362243
18780.242805	37.076111
19053.407727	39.331832
19330.545924	41.689584
19611.715189	44.081631
19896.974155	45.361842
20186.382308	45.361842
