* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
1225.732199	97.301583
1243.560885	97.446456
1261.648894	97.591202
1280.000000	97.736059
1298.618029	97.880822
1317.506863	98.025664
1336.670442	98.170443
1356.112761	98.315270
1375.837875	98.460065
1395.849898	98.545110
1416.153002	98.654259
1436.751422	98.780915
1457.649452	98.828974
1478.851452	98.882388
1500.361842	98.954156
1522.185107	99.026967
1544.325799	99.085717
1566.788535	99.134045
1589.577999	99.196733
1612.698944	99.289491
1636.156190	99.389254
1659.954630	99.527371
1684.099226	99.677205
1708.595013	99.749667
1733.447100	99.822235
1758.660669	99.894480
1784.240977	99.966821
1810.193360	100.066234
1836.523229	100.314253
1863.236074	100.546439
1890.337467	100.686046
1917.833058	100.758363
1945.728583	100.830681
1974.029857	100.935091
2002.742782	101.023206
2031.873347	101.129283
2061.427625	101.263573
2091.411780	101.335962
2121.832065	101.563714
2152.694823	101.708528
2184.006490	101.880928
2215.773596	102.054895
2248.002765	102.173858
2280.700718	102.382825
2313.874274	102.527808
2347.530351	102.672778
2381.675966	102.950584
2416.318240	103.240343
2451.464399	103.393483
2487.121769	103.538379
2523.297789	103.683097
2560.000000	103.828009
2597.236057	104.211118
2635.013726	104.596375
2673.340883	104.834904
2712.225522	104.979371
2751.675750	105.124521
2791.699796	105.269404
2832.306004	105.413865
2873.502844	105.553208
2915.298905	105.625528
2957.702904	105.768039
3000.723683	106.057575
3044.370214	106.251820
3088.651599	106.473858
3133.577071	106.607883
3179.155999	106.680276
3225.397888	106.908287
3272.312380	107.127303
3319.909260	107.293325
3368.198452	107.438158
3417.190027	107.535830
3466.894200	107.463365
3517.321337	107.499151
3568.481954	107.547707
3620.386720	107.418227
3673.046457	107.185521
3726.472148	106.991490
3780.674934	106.792584
3835.666117	106.462943
3891.457165	106.122432
3948.059713	105.833032
4005.485564	105.447780
4063.746693	105.158371
4122.855250	104.767710
4182.823560	104.333547
4243.664130	104.003087
4305.389646	103.713612
4368.012981	103.317574
4431.547192	103.004907
4496.005531	103.026085
4561.401437	103.130714
4627.748549	103.294557
4695.060701	103.584130
4763.351932	103.851752
4832.636481	103.960689
4902.928797	104.007984
4974.243539	103.935564
5046.595577	103.829734
5120.000000	103.829734
5194.472115	103.829734
5270.027452	103.856610
5346.681766	103.904929
5424.451043	103.882995
5503.351500	103.791110
5583.399591	103.646225
5664.612008	103.322170
5747.005687	102.613205
5830.597810	101.649500
5915.405808	100.211419
6001.447367	99.195203
6088.740429	97.716948
6177.303198	97.479462
6267.154142	97.316679
6358.311998	96.737784
6450.795775	96.281531
6544.624761	96.078204
6639.818520	95.705640
6736.396904	95.684722
6834.380053	95.662753
6933.788400	95.655273
7034.642675	95.737457
7136.963909	95.882246
7240.773439	96.145036
7346.092914	96.506566
7452.944296	96.801837
7561.349867	97.375437
7671.332234	97.905227
7782.914330	98.732698
7896.119426	99.220781
8010.971128	99.863126
8127.493386	100.215465
8245.710500	100.650078
8365.647121	100.815142
8487.328260	100.782813
8610.779292	100.277330
8736.025961	99.460862
8863.094385	98.310141
8992.011061	96.864904
9122.802874	95.464119
9255.497097	93.863799
9390.121402	91.930115
9526.703863	89.910535
9665.272962	85.939411
9805.857594	81.910526
9948.487077	77.823040
10093.191154	74.436646
10240.000000	78.657688
10388.944230	82.940128
10540.054903	87.284856
10693.363532	89.159990
10848.902086	90.821811
11006.703001	92.536521
11166.799182	94.056963
11329.224017	94.869487
11494.011375	95.297220
11661.195620	95.274102
11830.811616	95.161966
12002.894734	94.855708
12177.480858	94.503594
12354.606395	93.914171
12534.308283	93.018210
12716.623996	91.988964
12901.591551	90.392172
13089.249521	88.226505
13279.637040	86.029338
13472.793808	88.956404
13668.760107	90.664343
13867.576801	92.210613
14069.285350	94.041191
14273.927818	95.421100
14481.546879	96.311844
14692.185828	96.689720
14905.888592	95.930199
15122.699734	94.769138
15342.664467	93.591189
15565.828661	92.396106
15792.238852	91.183640
16021.942256	89.953538
16254.986772	88.705545
16491.420999	87.439398
16731.294241	86.595397
16974.656520	88.009271
17221.558584	89.443711
17472.051922	90.899015
17726.188769	92.375487
17984.022122	92.592581
18245.605748	91.759203
18510.994194	90.913703
18780.242805	90.055905
19053.407727	87.682569
19330.545924	84.250198
19611.715189	82.930688
19896.974155	82.930688
20186.382308	82.930688
